gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000099992.15,TBC1D10A,NA,NA,NA,NA,0.0950432933345531,3.145818656188264e-05,3.6647371387165924e-05,0,NA,24
ENSG00000099994.10,SUSD2,NA,NA,NA,NA,0.0624902613209704,0.0008198042694750887,0.0008665855531450891,0,NA,68
ENSG00000099998.17,GGT5,NA,NA,NA,NA,0.406768247531551,1.7513049083544385e-21,6.56507119459836e-21,0,NA,111
ENSG00000100024.14,UPB1,NA,NA,NA,NA,0.114247698664167,4.476017203847761e-06,5.568807863094547e-06,0,NA,32
ENSG00000100029.17,PES1,NA,NA,NA,NA,0.0629853050555435,0.0007803095183886836,0.0008255969432237707,0,NA,10
ENSG00000100030.14,MAPK1,NA,NA,NA,NA,0.078202747216772,0.00017074305326569974,0.00018801380314060993,0,NA,11
ENSG00000100034.13,PPM1F,NA,NA,NA,NA,0.129698845521779,9.132620965970504e-07,1.1941158593331008e-06,0,NA,32
ENSG00000100053.9,CRYBB3,NA,NA,NA,NA,0.265515342673216,2.528800234064972e-13,5.210723604079157e-13,0,NA,106
ENSG00000100055.20,CYTH4,NA,NA,NA,NA,0.149605023788846,1.1416045019341864e-07,1.5888979213783304e-07,0,NA,22
ENSG00000100058.12,CRYBB2P1,NA,NA,NA,NA,0.143613955410545,2.14312656346805e-07,2.9302153073131613e-07,0,NA,45
ENSG00000100077.14,GRK3,NA,NA,NA,NA,0.137398751633307,4.1040134382342696e-07,5.494342921535257e-07,0,NA,21
ENSG00000100078.3,PLA2G3,NA,NA,NA,NA,0.105832857465444,1.0552213988848615e-05,1.2787357178784104e-05,0,NA,20
ENSG00000100079.6,LGALS2,NA,NA,NA,NA,0.142394176799081,2.4352919898114464e-07,3.31439235704156e-07,0,NA,22
ENSG00000100104.13,SRRD,NA,NA,NA,NA,0.0743306559919131,0.00025147278153575043,0.00027408445038558426,0,10.0,11
ENSG00000100105.17,PATZ1,NA,NA,NA,NA,0.0440633044910747,0.0051709827664847855,0.005278412360677948,0,NA,99
ENSG00000100106.19,TRIOBP,NA,NA,NA,NA,0.0848320250913543,8.78786041690815e-05,9.893746049571386e-05,0,13.0,11
ENSG00000100154.14,TTC28,NA,NA,NA,NA,0.121159152961145,2.2038887220517263e-06,2.8015121165206505e-06,0,10.0,35
ENSG00000100167.19,SEPT3,NA,NA,NA,NA,0.136631219241365,4.445730035265037e-07,5.93970736716812e-07,0,10.0,22
